genus	genome_size
Methanocorpusculum	1804962
Methanoculleus	2532054
Methanofervidicoccus	1504113
Methanofollis	2746416
Methanogenium	2581040
Methanohalobium	2406232
Methanohalophilus	2017691
Methanolacinia	2843290
Methanolapillus	1932410
Methanolobus	2806406
Methanomethylophilus	1666781
Methanomethylovorans	2714013
Methanomicrobium	2438126
Methanonatronarchaeum	1477246
Methanoplanus	2737775
Methanopyrus	1694969
Methanoregula	2681900
Methanosalsum	2138444
Methanosarcina	4318135
Methanosphaera	2270765
Methanosphaerula	2922917
Methanospirillum	3487473
Methanothermobacter	1697162
Methanothermococcus	1691975
Methanothrix	2492383
Methanotorris	1854197
Methylacidimicrobium	2336119
Methylacidiphilum	2247958
Methylibium	4292388
Methylobacillus	2971517
Methylobacter	4940356
Methylobacterium	6685733
Methylocaldum	5492144
Methylocapsa	4151390
Methyloceanibacter	3317468
Methylocella	4383367
Methylococcus	3644115
Methylocystis	4323581
Methylogaea	4018824
Methyloligella	3230794
Methylomagnum	5199498
Methylomarinovum	2568615
Methylomarinum	4771325
Methylomicrobium	4493006
Methylomonas	4896498
Methylomusa	4781198
Methylophaga	3122393
Methylophilus	3048178
Methyloradius	2800413
Methylorubrum	5830445
Methylosinus	5024345
Methylotenera	2803720
Methylotuvimicrobium	4932855
Methyloversatilis	3937190
Methylovirgula	4020696
Methylovorus	2972199
Methylovulum	4923400
Meyerozyma	10374816
Micavibrio	2470296
Microbacterium	3541292
Microbispora	8323335
Microbulbifer	4530862
Microcella	2677665
Micrococcus	2550985
Microcystis	5188656
Microlunatus	5239409
Micromonospora	7144717
Micropruina	3844677
Microterricola	3689726
Microvenator	5847748
Microvirga	6875829
Miltoncostaea	3956195
Mimivirus	1189594
Miniimonas	3772642
Miniphocaeibacter	2394777
Minwuia	4238063
Mitsuaria	6085092
Mixta	4516445
Mobiluncus	2169963
Modestobacter	4899815
Moellerella	3898166
Mogibacterium	1781536
Mongoliitalea	4816617
Monoglobus	2810259
Monosporozyma	13468544
Moorella	2694993
Moorena	9684298
Moraxella	2517778
Morganella	4052374
Moritella	4841935
Morococcus	2574276
Moumouvirus	1057423
Mucilaginibacter	6367843
Mucisphaera	3486541
Mucispirillum	2347083
Mumia	4419716
Murdochiella	1671491
